City,Latitude,Longitude
San Francisco,37.7749,-122.4194
Sacramento,38.5816,-121.4944
Glendale,34.1425,-118.2551
Santa Barbara,34.4208,-119.6982
Carlsbad,33.1581,-117.3506
Santa Clarita,34.3917,-118.5426
Long Beach,33.7701,-118.1937
Palm Springs,33.8303,-116.5453
Stockton,37.9577,-121.2908
Huntington Beach,33.6595,-117.9988
Santa Ana,33.7455,-117.8677
San Bernardino,34.1083,-117.2898
Oxnard,34.1975,-119.1771
Palmdale,34.5794,-118.1165
Oakland,37.8044,-122.2712
Pasadena,34.1478,-118.1445
Ventura,34.2805,-119.2945
Garden Grove,33.7739,-117.9414
Bakersfield,35.3733,-119.0187
Fresno,36.7378,-119.7871
Oceanside,33.1959,-117.3795
Berkeley,37.8715,-122.273
San Jose,37.3382,-121.8863
Moreno Valley,33.9425,-117.2297
Los Angeles,34.0522,-118.2437
Santa Rosa,38.4405,-122.7141
Inglewood,33.9617,-118.3531
Fontana,34.0922,-117.435
Fairfield,38.2494,-122.04
Rancho Cucamonga,34.1064,-117.5931
Corona,33.8753,-117.5664
Irvine,33.6846,-117.8265
Modesto,37.6391,-120.9969
Monterey,36.6002,-121.8947
Roseville,38.7521,-121.288
Temecula,33.4936,-117.1484
Ontario,34.0633,-117.6509
Murrieta,33.5539,-117.2139
Elk Grove,38.4088,-121.3716
San Diego,32.7157,-117.1611
Lancaster,34.6868,-118.1542
Riverside,33.9533,-117.3961
Chula Vista,32.6401,-117.0842
Thousand Oaks,34.1706,-118.8376
Simi Valley,34.2694,-118.7815
Costa Mesa,33.6411,-117.9187
Anaheim,33.8366,-117.9143
West Covina,34.0686,-117.939
Burbank,34.1808,-118.309
Fremont,37.5485,-121.9886
